임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
12,임신 초기,4~9주,임신 주차,4,5,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모,심한 복통,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,심한 복통,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
13,임신 초기,4~9주,임신 주차,4,5,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모,많은 질출혈,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,많은 질출혈,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
14,임신 초기,4~9주,임신 주차,4,5,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모,실신하거나 심한 어지러움,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,실신하거나 심한 어지러움,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
15,임신 초기,4~9주,임신 주차,6,9,주,검사·진료,초기 진료,,검사·진료,실행,산모,초기 기본검사 결과 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,초기 기본검사 결과 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
16,임신 초기,4~9주,임신 주차,6,9,주,검사·진료,초기 진료,,검사·진료,실행,산모,정기 진료 주기 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,정기 진료 주기 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
17,임신 초기,4~9주,임신 주차,6,9,주,검사·진료,초기 진료,,검사·진료,실행,산모,예방접종·과거병력·복용약 의료진에게 공유,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,예방접종·과거병력·복용약 의료진에게 공유,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
18,임신 초기,4~9주,임신 주차,6,9,주,임신 생활·영양·운동,입덧 생활,,가이드,알아보기,부부,입덧이 있을 때 먹기 편한 음식 찾기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,입덧이 있을 때 먹기 편한 음식 찾기,,편집 검토 필요,초안,,,
19,임신 초기,4~9주,임신 주차,6,9,주,임신 생활·영양·운동,입덧 생활,,가이드,알아보기,부부,수분 섭취 방법 정하기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수분 섭취 방법 정하기,,편집 검토 필요,초안,,,
20,임신 초기,4~9주,임신 주차,6,9,주,임신 생활·영양·운동,입덧 생활,,가이드,알아보기,부부,직장과 이동 중 입덧 대처 준비,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,직장과 이동 중 입덧 대처 준비,,편집 검토 필요,초안,,,
21,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,입덧과 피로,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,입덧과 피로,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
22,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,잦은 소변,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,잦은 소변,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
23,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,유방 압통과 변비,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,유방 압통과 변비,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
24,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,감정 변화와 불안,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,감정 변화와 불안,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
25,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모,통증을 동반한 출혈,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,통증을 동반한 출혈,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
26,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모,물을 마시기 어려울 정도의 구토,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,물을 마시기 어려울 정도의 구토,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
27,임신 초기,4~9주,임신 주차,6,9,주,산모 건강·회복,위험 신호,,병원 확인 신호,실행,산모,고열 또는 의식 저하,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,고열 또는 의식 저하,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
28,임신 초기,4~9주,임신 주차,6,9,주,보호자·부부 역할,부부 의사결정,,할 일,알아보기,부부,출산 병원 선택 기준 대화,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,출산 병원 선택 기준 대화,,편집 검토 필요,초안,,,
29,임신 초기,4~9주,임신 주차,6,9,주,보호자·부부 역할,부부 의사결정,,할 일,알아보기,부부,임신 사실 공유 범위 정하기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,임신 사실 공유 범위 정하기,,편집 검토 필요,초안,,,
30,임신 초기,4~9주,임신 주차,6,9,주,보호자·부부 역할,부부 의사결정,,할 일,알아보기,부부,산모가 원하는 일상 지원 방식 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산모가 원하는 일상 지원 방식 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
31,임신 초기,10~13주,임신 주차,10,13,주,검사·진료,초기 선별검사,,검사·진료,비교·결정,산모·아기,염색체이상 선별검사 종류 상담,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,염색체이상 선별검사 종류 상담,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
32,임신 초기,10~13주,임신 주차,10,13,주,검사·진료,초기 선별검사,,검사·진료,비교·결정,산모·아기,검사 선택에 필요한 가족력·위험요인 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,검사 선택에 필요한 가족력·위험요인 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
33,임신 초기,10~13주,임신 주차,10,13,주,검사·진료,초기 선별검사,,검사·진료,비교·결정,산모·아기,검사 결과 확인 방법과 다음 단계 질문,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,검사 결과 확인 방법과 다음 단계 질문,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
34,임신 초기,10~13주,임신 주차,10,13,주,임신 생활·영양·운동,식생활,,가이드,알아보기,부부,임신 중 피해야 할 음식 공식 안내 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,임신 중 피해야 할 음식 공식 안내 확인,,편집 검토 필요,초안,,,
35,임신 초기,10~13주,임신 주차,10,13,주,임신 생활·영양·운동,식생활,,가이드,알아보기,부부,카페인 섭취 기준 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,카페인 섭취 기준 확인,,편집 검토 필요,초안,,,
36,임신 초기,10~13주,임신 주차,10,13,주,임신 생활·영양·운동,식생활,,가이드,알아보기,부부,변비와 속쓰림을 고려한 식사 방법 찾기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,변비와 속쓰림을 고려한 식사 방법 찾기,,편집 검토 필요,초안,,,
37,임신 초기,10~13주,임신 주차,10,13,주,검사·진료,산전 진료비,,할 일,기록,부부,초기 검사 예상 비용 확인,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,기관별 예상 금액과 실제 결제액을 구분해 기록하세요.,권장,예,공통,초기 검사 예상 비용 확인,,편집 검토 필요,초안,기관별 상이,확인 필요,
38,임신 초기,10~13주,임신 주차,10,13,주,검사·진료,산전 진료비,,할 일,기록,부부,실제 진료비와 지원금 사용액 기록,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,기관별 예상 금액과 실제 결제액을 구분해 기록하세요.,권장,예,공통,실제 진료비와 지원금 사용액 기록,https://www.gov.kr/,공식 출처 확인 필요,초안,기관별 상이,확인 필요,
39,임신 초기,10~13주,임신 주차,10,13,주,행정·지원 혜택,회사 제도,,할 일,알아보기,부부,임신기 근로시간 단축과 회사 제도 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,직장인,임신기 근로시간 단축과 회사 제도 확인,,편집 검토 필요,초안,,,
40,임신 초기,10~13주,임신 주차,10,13,주,행정·지원 혜택,회사 제도,,할 일,알아보기,부부,검진 휴가·반차 사용 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,직장인,검진 휴가·반차 사용 방법 확인,,편집 검토 필요,초안,,,
41,임신 중기,14~17주,임신 주차,14,17,주,검사·진료,중기 선별검사,,검사·진료,비교·결정,산모·아기,중기 선별검사 일정 상담,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,중기 선별검사 일정 상담,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
42,임신 중기,14~17주,임신 주차,14,17,주,검사·진료,중기 선별검사,,검사·진료,비교·결정,산모·아기,검사 결과와 추가 검사 필요 여부 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,권장,예,공통,검사 결과와 추가 검사 필요 여부 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
43,임신 중기,14~17주,임신 주차,14,17,주,임신 생활·영양·운동,운동,,가이드,알아보기,부부,현재 상태에 맞는 산책·운동 강도 상담,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,현재 상태에 맞는 산책·운동 강도 상담,,편집 검토 필요,초안,,,
44,임신 중기,14~17주,임신 주차,14,17,주,임신 생활·영양·운동,운동,,가이드,알아보기,부부,골반·허리 부담을 줄이는 생활 자세 알아보기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,골반·허리 부담을 줄이는 생활 자세 알아보기,,편집 검토 필요,초안,,,
45,임신 중기,14~17주,임신 주차,14,17,주,임신 생활·영양·운동,태교여행,,가이드,비교·결정,부부,태교여행 가능 여부 의료진에게 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,선택,예,공통,태교여행 가능 여부 의료진에게 확인,,편집 검토 필요,초안,,,
46,임신 중기,14~17주,임신 주차,14,17,주,임신 생활·영양·운동,태교여행,,가이드,비교·결정,부부,이동시간·의료기관 접근성·취소 조건 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,선택,예,공통,이동시간·의료기관 접근성·취소 조건 확인,,편집 검토 필요,초안,,,
47,임신 중기,14~17주,임신 주차,14,17,주,산모 건강·회복,임신 중기 변화,,증상·변화,알아보기,산모,입덧 완화와 식욕 변화,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,입덧 완화와 식욕 변화,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
48,임신 중기,14~17주,임신 주차,14,17,주,산모 건강·회복,임신 중기 변화,,증상·변화,알아보기,산모,허리통증과 코막힘,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,허리통증과 코막힘,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
49,임신 중기,14~17주,임신 주차,14,17,주,산모 건강·회복,임신 중기 변화,,증상·변화,알아보기,산모,피부·유방 변화,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,피부·유방 변화,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
50,임신 중기,14~17주,임신 주차,14,17,주,육아용품,구매 계획,,할 일,알아보기,부부,육아용품 전체 카테고리와 예상 예산 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,육아용품 전체 카테고리와 예상 예산 확인,,편집 검토 필요,초안,,,
51,임신 중기,14~17주,임신 주차,14,17,주,육아용품,구매 계획,,할 일,알아보기,부부,선물 받을 물품과 직접 구매할 물품 구분,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,선물 받을 물품과 직접 구매할 물품 구분,,편집 검토 필요,초안,,,
52,임신 중기,18~21주,임신 주차,18,21,주,검사·진료,정밀초음파,,검사·진료,실행,산모·아기,정밀초음파 일정 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,정밀초음파 일정 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
53,임신 중기,18~21주,임신 주차,18,21,주,검사·진료,정밀초음파,,검사·진료,실행,산모·아기,검사 전 질문 목록 준비,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,검사 전 질문 목록 준비,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
54,임신 중기,18~21주,임신 주차,18,21,주,검사·진료,정밀초음파,,검사·진료,실행,산모·아기,검사 결과와 추적 관찰 필요 여부 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,검사 결과와 추적 관찰 필요 여부 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
55,임신 중기,18~21주,임신 주차,18,21,주,산모 건강·회복,태동,,증상·변화,알아보기,산모·아기,태동을 느끼기 시작할 수 있는 시기 이해,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,태동을 느끼기 시작할 수 있는 시기 이해,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
56,임신 중기,18~21주,임신 주차,18,21,주,산모 건강·회복,태동,,증상·변화,알아보기,산모·아기,평소 태동 양상을 가볍게 관찰,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,평소 태동 양상을 가볍게 관찰,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
57,임신 중기,18~21주,임신 주차,18,21,주,육아용품,수면용품,,가이드,알아보기,부부,아기 수면 공간 선택 기준 알아보기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,아기 수면 공간 선택 기준 알아보기,,편집 검토 필요,초안,,,
58,임신 중기,18~21주,임신 주차,18,21,주,육아용품,수면용품,,가이드,알아보기,부부,침대·요람·매트리스 구매 또는 대여 비교,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,침대·요람·매트리스 구매 또는 대여 비교,,편집 검토 필요,초안,,,
59,임신 중기,18~21주,임신 주차,18,21,주,육아용품,이동용품,,가이드,비교·결정,부부,유모차 사용 시기와 생활환경 비교,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,선택,예,공통,유모차 사용 시기와 생활환경 비교,,편집 검토 필요,초안,,,
60,임신 중기,18~21주,임신 주차,18,21,주,육아용품,이동용품,,가이드,비교·결정,부부,아기띠 종류와 사용 시기 알아보기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,선택,예,공통,아기띠 종류와 사용 시기 알아보기,,편집 검토 필요,초안,,,
61,임신 중기,18~21주,임신 주차,18,21,주,육아용품,육아용품 예산,,할 일,준비,부부,필수 육아용품 1차 예산 만들기,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,기관별 예상 금액과 실제 결제액을 구분해 기록하세요.,권장,예,공통,필수 육아용품 1차 예산 만들기,,편집 검토 필요,초안,구매 방식별 상이,확인 필요,
62,임신 중기,18~21주,임신 주차,18,21,주,육아용품,육아용품 예산,,할 일,준비,부부,중고·대여·선물 활용 항목 구분,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,기관별 예상 금액과 실제 결제액을 구분해 기록하세요.,권장,예,공통,중고·대여·선물 활용 항목 구분,,편집 검토 필요,초안,구매 방식별 상이,확인 필요,
